Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
1,0,0,0,0,1,2,1,1,1,0,2,0,0,1,-1.755674939
0,1,0,0,0,1,1,1,1,2,1,2,0,0,0,-0.4486026
0,0,0,1,0,1,2,1,1,1,1,0,0,2,0,-1.202805396
0,0,0,0,1,1,2,1,1,1,0,1,1,1,0,-1.286367972
0,0,1,0,0,2,1,0,2,1,0,1,1,1,0,-1.616545236
0,0,0,0,1,2,1,0,2,1,1,0,0,1,1,-1.38196975
1,0,0,0,0,1,1,1,1,2,0,1,0,2,0,-1.654929536
1,0,0,0,0,2,0,1,2,1,1,1,1,0,0,-1.693711016
1,0,0,0,0,1,0,1,3,1,0,1,2,0,0,-1.695963096
0,0,1,0,0,3,0,0,3,0,2,1,0,0,0,-1.588474044
1,0,0,0,0,1,0,1,3,1,1,2,0,0,0,-1.704081247
0,0,1,0,0,0,1,1,1,3,1,1,0,1,0,-1.507273751
0,0,0,1,0,0,1,1,1,3,1,0,0,2,0,-1.059945331
0,0,1,0,0,0,1,1,2,2,2,0,1,0,0,-1.576693168
0,1,0,0,0,0,1,1,1,3,0,1,2,0,0,-0.536955646
0,0,0,0,1,0,2,2,1,1,1,0,1,1,0,-1.322451998
0,0,0,0,1,0,1,1,2,2,0,1,1,1,0,-1.256823235
0,0,0,0,1,0,2,2,1,1,1,2,0,0,0,-1.338020839
1,0,0,0,0,2,1,1,0,2,0,1,1,1,0,-1.529328439
0,0,0,0,1,3,2,0,0,1,0,2,0,1,0,-1.317491903
0,1,0,0,0,2,1,1,0,2,1,2,0,0,0,-0.481170939
0,0,1,0,0,3,2,0,0,1,1,0,2,0,0,-1.201693414
1,0,0,0,0,2,1,1,0,2,0,1,1,1,0,-1.487159687
1,0,0,0,0,3,2,0,0,1,0,2,0,1,0,-1.545229584
1,0,0,0,0,3,1,1,0,1,1,0,0,2,0,-1.495764634
0,0,1,0,0,3,0,1,1,1,1,0,1,0,1,-1.417341134
1,0,0,0,0,2,0,1,2,1,0,1,1,1,0,-1.64373559
1,0,0,0,0,1,0,2,1,2,0,1,0,1,1,-1.623750298
0,0,0,1,0,2,0,1,1,2,0,1,0,2,0,-1.373873917
0,0,0,0,1,3,0,1,1,1,0,1,1,1,0,-1.339436859
0,0,1,0,0,2,0,1,2,1,0,1,0,1,1,-1.574952968
1,0,0,0,0,1,0,2,1,2,1,0,0,2,0,-1.609585227
0,0,0,0,1,2,0,1,2,1,1,0,1,1,0,-1.297878718
1,0,0,0,0,1,2,2,0,1,0,1,1,0,1,-1.645432295
0,0,1,0,0,2,1,2,1,0,0,0,2,0,1,-1.540040211
0,0,0,0,1,2,1,2,1,0,1,0,0,1,1,-1.331578993
0,0,1,0,0,1,2,2,0,1,1,0,0,1,1,-1.371346022
0,1,0,0,0,1,1,2,1,1,0,1,1,1,0,-0.488274436
1,0,0,0,0,1,1,2,1,1,2,0,1,0,0,-1.629566834
0,0,0,1,0,1,2,2,0,1,1,0,1,1,0,-1.051653591
0,0,1,0,0,2,0,2,1,1,0,1,0,2,0,-1.512043458
1,0,0,0,0,1,0,2,1,2,0,0,0,1,2,-1.650912442
1,0,0,0,0,1,0,2,2,1,0,1,0,0,2,-1.679509921
0,0,1,0,0,1,0,2,2,1,1,0,0,1,1,-1.686882274
0,0,0,0,1,2,0,2,1,1,0,0,1,0,2,-1.308981523
0,0,0,0,1,1,0,2,2,1,0,0,1,2,0,-1.299246868
0,0,0,0,1,1,1,1,2,1,1,1,0,0,1,-1.350424124
0,1,0,0,0,0,0,3,1,2,1,2,0,0,0,-0.46881832
1,0,0,0,0,0,0,3,1,2,2,0,0,1,0,-1.611146688
0,0,1,0,0,1,1,1,2,1,2,1,0,0,0,-1.536335514
0,0,1,0,0,1,1,2,1,1,1,2,0,0,0,-1.473794008
0,0,0,0,1,1,1,2,1,1,1,0,0,1,1,-1.350945339
0,0,0,0,1,0,1,2,2,1,1,1,1,0,0,-1.344967337
0,0,1,0,0,0,0,0,4,2,1,2,0,0,0,-1.725343226
0,0,1,0,0,0,0,0,4,2,2,0,0,0,1,-1.700422363
0,0,0,0,1,0,1,2,2,1,0,1,0,0,2,-1.377331153
0,0,0,0,1,0,1,1,2,2,0,0,0,1,2,-1.330520824
0,0,1,0,0,1,0,0,3,2,0,0,1,1,1,-1.668230535
0,0,0,0,1,1,0,0,3,2,1,1,0,1,0,-1.286356329
0,0,1,0,0,1,0,0,3,2,0,0,1,1,1,-1.667767856
1,0,0,0,0,0,1,1,2,2,2,0,1,0,0,-1.669527369
0,0,0,0,1,1,1,1,1,2,0,1,1,0,1,-1.31569719
0,0,0,0,1,1,2,0,1,2,0,1,0,1,1,-1.337273641
0,0,0,0,1,1,2,0,1,2,0,1,0,1,1,-1.333186785
