Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
1,0,2,0,0,1,0,1,0,1,0,2,0,1,0,-0.405748232
0,1,1,0,1,2,0,1,0,0,0,1,0,1,1,-0.226183094
1,1,1,0,0,0,1,1,0,1,0,2,1,0,0,-0.311729647
1,1,0,0,1,2,0,1,0,0,0,3,0,0,0,-0.327960525
2,0,1,0,0,0,1,2,0,0,0,1,0,2,0,-0.385961168
1,0,1,0,1,1,2,0,0,0,0,1,0,1,1,-0.384210334
2,0,1,0,0,1,1,1,0,0,0,1,0,2,0,-0.38179672
1,2,0,0,0,1,0,2,0,0,0,1,1,1,0,-0.122996739
0,1,2,0,0,1,1,0,0,1,0,0,1,1,1,-0.306314463
1,0,2,0,0,1,1,1,0,0,1,0,1,0,1,-0.422218742
1,1,1,0,0,1,1,0,1,0,0,1,2,0,0,-0.293029724
1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,-0.281163918
0,2,1,0,0,2,0,0,0,1,1,1,0,1,0,-0.143217315
2,0,0,0,1,0,0,2,1,0,1,0,1,0,1,-0.390208334
0,0,2,0,1,1,1,1,0,0,0,0,0,1,2,-0.370420916
0,0,2,1,0,0,2,1,0,0,0,0,1,1,1,-0.48169323
0,1,0,1,1,1,0,2,0,0,1,0,1,1,0,-0.202775455
3,0,0,0,0,0,0,0,1,2,1,1,1,0,0,-0.32459131
0,1,0,1,1,3,0,0,0,0,1,1,0,1,0,-0.168898014
0,0,0,1,2,0,1,0,1,1,1,2,0,0,0,-0.367212164
1,1,0,0,1,1,0,0,0,2,0,2,1,0,0,-0.303813293
1,0,0,2,0,1,1,0,0,1,1,1,0,1,0,-0.471735361
1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,-0.260094065
1,0,0,1,1,1,1,0,0,1,0,3,0,0,0,-0.396965833
1,0,0,0,2,1,0,0,2,0,2,1,0,0,0,-0.339213364
1,0,0,1,1,1,0,0,1,1,2,0,1,0,0,-0.293167517
1,1,0,0,1,1,0,2,0,0,1,1,0,1,0,-0.239666725
1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,-0.391123097
1,1,0,0,1,0,0,1,0,2,1,2,0,0,0,-0.320889512
1,0,2,0,0,0,0,0,1,2,2,0,1,0,0,-0.367534032
1,0,1,0,1,1,0,0,1,1,3,0,0,0,0,-0.306966444
0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,-0.213685731
1,0,1,1,0,1,1,0,0,1,2,0,0,1,0,-0.451888719
0,0,1,0,2,1,0,1,1,0,1,0,1,0,1,-0.29922948
0,0,0,1,2,1,1,0,0,1,1,1,0,0,1,-0.36561489
0,2,0,0,1,0,0,0,1,2,0,1,0,1,1,-0.204475287
1,0,0,1,1,1,1,0,0,1,1,0,0,2,0,-0.313046719
1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,-0.296133665
1,1,0,1,0,1,0,0,0,2,0,0,1,2,0,-0.215953248
1,0,0,0,2,1,1,0,0,1,1,0,0,1,1,-0.336910105
3,0,0,0,0,0,2,0,0,1,0,0,1,2,0,-0.347497599
1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,-0.31964906
0,0,0,1,2,3,0,0,0,0,2,0,1,0,0,-0.321366367
0,0,1,1,1,2,0,1,0,0,0,0,0,1,2,-0.390818154
1,0,1,1,0,1,0,1,0,1,1,0,0,0,2,-0.447079695
0,0,3,0,0,1,0,0,2,0,1,1,0,1,0,-0.47209252
0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,-0.357368857
0,0,1,1,1,1,0,1,1,0,0,0,0,3,0,-0.349666919
1,0,0,0,2,0,0,3,0,0,0,0,1,1,1,-0.341189312
1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,-0.384030662
1,0,0,2,0,1,0,0,0,2,0,0,0,1,2,-0.490024449
2,0,1,0,0,0,0,1,1,1,0,1,0,1,1,-0.443280138
0,0,2,1,0,0,0,1,1,1,1,1,0,0,1,-0.490467795
0,0,1,1,1,0,0,1,2,0,2,0,1,0,0,-0.361480596
0,0,0,3,0,1,0,1,0,1,1,2,0,0,0,-0.581883881
1,0,1,1,0,0,0,1,1,1,0,1,0,0,2,-0.451088377
1,0,1,0,1,0,0,2,1,0,1,0,1,0,1,-0.385637805
1,0,0,2,0,0,0,2,1,0,0,1,2,0,0,-0.507201785
0,0,1,2,0,1,0,1,1,0,0,1,1,0,1,-0.528954821
