Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
1,1,0,0,1,1,0,2,0,0,0,1,0,0,0,-0.290776207
2,0,1,0,0,1,0,1,0,1,0,0,0,1,0,-0.355210261
2,1,0,0,0,0,1,1,0,1,0,1,0,0,0,-0.351105682
1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,-0.289830015
0,1,1,0,1,1,0,2,0,0,0,0,0,0,1,-0.210897512
1,0,2,0,0,1,1,1,0,0,0,0,0,1,0,-0.346646913
1,0,2,0,0,2,1,0,0,0,0,1,0,0,0,-0.465215888
0,2,1,0,0,2,0,1,0,0,0,0,1,0,0,-0.029496547
1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,-0.408505451
0,1,1,1,0,2,0,1,0,0,0,0,0,1,0,-0.239030106
1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,-0.199962669
0,0,3,0,0,1,0,0,1,1,0,0,0,0,1,-0.454963529
1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,-0.368575104
0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,-0.176404832
1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,-0.425188523
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,-0.288224892
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,-0.281277415
2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,-0.37274893
0,0,0,1,2,1,0,1,0,1,0,0,0,0,1,-0.29326215
1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,-0.378318864
1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,-0.30418252
1,0,1,0,1,0,1,0,0,2,1,0,0,0,0,-0.332813499
1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,-0.338717147
0,1,0,0,2,1,0,1,1,0,0,1,0,0,0,-0.310173545
1,0,0,1,1,0,0,2,0,1,1,0,0,0,0,-0.308205305
0,0,2,0,1,1,1,0,0,1,0,0,1,0,0,-0.333489508
1,1,1,0,0,0,0,0,1,2,0,0,0,1,0,-0.260812973
1,0,0,1,1,0,1,0,0,2,1,0,0,0,0,-0.402299315
